DBN,School Name,Cohort,Demographic,Total Grads - % of cohort,Total Regents - % of cohort,Advanced Regents - % of cohort,Regents w/o Advanced - % of cohort,Local - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH,2005,English Language Learners,s,s,s,s,s,s,s
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH,2006,English Language Learners,s,s,s,s,s,s,s
24Q610,AVIATION CAREER & TECHNICAL EDUCATION,2005,English Language Learners,s,s,s,s,s,s,s
24Q610,AVIATION CAREER & TECHNICAL EDUCATION,2006,English Language Learners,s,s,s,s,s,s,s
24Q744,VOYAGES PREPARATORY,2005,English Language Learners,s,s,s,s,s,s,s
24Q744,VOYAGES PREPARATORY,2006,English Language Learners,s,s,s,s,s,s,s
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,2005,English Language Learners,48.1%,24.1%,0%,24.1%,24.1%,43%,8.9%
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,2006,English Language Learners,55.3%,38.2%,0%,38.2%,17.1%,32.9%,11.8%
25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STU,2005,English Language Learners,s,s,s,s,s,s,s
25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STU,2006,English Language Learners,s,s,s,s,s,s,s
25Q425,JOHN BOWNE HIGH SCHOOL,2005,English Language Learners,47%,33.9%,16.7%,17.3%,13.1%,26.2%,20.2%
25Q425,JOHN BOWNE HIGH SCHOOL,2006,English Language Learners,47.1%,36.7%,16.2%,20.5%,10.5%,21%,29.5%
25Q460,FLUSHING HIGH SCHOOL,2005,English Language Learners,41.7%,29.5%,8.6%,20.9%,12.2%,26.6%,24.5%
25Q460,FLUSHING HIGH SCHOOL,2006,English Language Learners,54.1%,44.6%,12.8%,31.8%,9.5%,25%,16.9%
25Q540,QUEENS ACADEMY HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
25Q540,QUEENS ACADEMY HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2005,English Language Learners,s,s,s,s,s,s,s
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,2006,English Language Learners,s,s,s,s,s,s,s
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2005,English Language Learners,42.9%,34.9%,14.3%,20.6%,7.9%,44.4%,12.7%
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,2006,English Language Learners,67.3%,49%,26.5%,22.4%,18.4%,24.5%,8.2%
26Q430,FRANCIS LEWIS HIGH SCHOOL,2005,English Language Learners,55.6%,36.6%,19%,17.6%,19%,36.6%,5.2%
26Q430,FRANCIS LEWIS HIGH SCHOOL,2006,English Language Learners,50.4%,39.6%,22.3%,17.3%,10.8%,33.8%,11.5%
26Q435,MARTIN VAN BUREN HIGH SCHOOL,2005,English Language Learners,40.4%,25.5%,2.1%,23.4%,14.9%,42.6%,12.8%
26Q435,MARTIN VAN BUREN HIGH SCHOOL,2006,English Language Learners,28.8%,20.3%,0%,20.3%,8.5%,47.5%,23.7%
26Q495,BAYSIDE HIGH SCHOOL,2005,English Language Learners,57.7%,52.6%,35.9%,16.7%,5.1%,28.2%,11.5%
26Q495,BAYSIDE HIGH SCHOOL,2006,English Language Learners,52.7%,45.9%,27%,18.9%,6.8%,33.8%,10.8%
26Q566,QUEENS HIGH SCHOOL OF TEACHING  LIBER,2005,English Language Learners,s,s,s,s,s,s,s
26Q566,QUEENS HIGH SCHOOL OF TEACHING  LIBER,2006,English Language Learners,s,s,s,s,s,s,s
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SC,2005,English Language Learners,s,s,s,s,s,s,s
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SC,2006,English Language Learners,s,s,s,s,s,s,s
27Q400,AUGUST MARTIN HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
27Q400,AUGUST MARTIN HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
27Q410,BEACH CHANNEL HIGH SCHOOL,2005,English Language Learners,13%,4.3%,0%,4.3%,8.7%,69.6%,17.4%
27Q410,BEACH CHANNEL HIGH SCHOOL,2006,English Language Learners,25%,14.3%,0%,14.3%,10.7%,53.6%,17.9%
27Q465,FAR ROCKAWAY HIGH SCHOOL,2005,English Language Learners,34.5%,3.4%,0%,3.4%,31%,27.6%,37.9%
27Q465,FAR ROCKAWAY HIGH SCHOOL,2006,English Language Learners,33.3%,11.1%,0%,11.1%,22.2%,16.7%,44.4%
27Q475,RICHMOND HILL HIGH SCHOOL,2005,English Language Learners,27.9%,6.5%,0.6%,5.8%,21.4%,35.1%,29.2%
27Q475,RICHMOND HILL HIGH SCHOOL,2006,English Language Learners,38.1%,21.6%,2.9%,18.7%,16.5%,35.3%,22.3%
27Q480,JOHN ADAMS HIGH SCHOOL,2005,English Language Learners,34.5%,12.6%,2.3%,10.3%,21.8%,41.4%,19.5%
27Q480,JOHN ADAMS HIGH SCHOOL,2006,English Language Learners,65.7%,46.1%,0%,46.1%,19.6%,21.6%,10.8%
27Q650,HIGH SCHOOL FOR CONSTRUCTION TRADES,2006,English Language Learners,s,s,s,s,s,s,s
28Q440,FOREST HILLS HIGH SCHOOL,2005,English Language Learners,64.1%,28.2%,7.7%,20.5%,35.9%,19.2%,12.8%
28Q440,FOREST HILLS HIGH SCHOOL,2006,English Language Learners,72.9%,32.9%,0%,32.9%,40%,20%,5.9%
28Q470,JAMAICA HIGH SCHOOL,2005,English Language Learners,30.4%,19.6%,0%,19.6%,10.7%,26.8%,32.1%
28Q470,JAMAICA HIGH SCHOOL,2006,English Language Learners,32.8%,22.4%,1.5%,20.9%,10.4%,29.9%,31.3%
28Q505,HILLCREST HIGH SCHOOL,2005,English Language Learners,42.4%,11.1%,1%,10.1%,31.3%,33.3%,23.2%
28Q505,HILLCREST HIGH SCHOOL,2006,English Language Learners,54.7%,25.5%,0.9%,24.5%,29.2%,25.5%,18.9%
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL,2005,English Language Learners,s,s,s,s,s,s,s
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL,2006,English Language Learners,s,s,s,s,s,s,s
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND P,2006,English Language Learners,s,s,s,s,s,s,s
29Q248,QUEENS PREPARATORY ACADEMY,2006,English Language Learners,s,s,s,s,s,s,s
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL:,2006,English Language Learners,s,s,s,s,s,s,s
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
29Q283,PREPARATORY ACADEMY FOR WRITERS: A CO,2005,English Language Learners,s,s,s,s,s,s,s
29Q283,PREPARATORY ACADEMY FOR WRITERS: A CO,2006,English Language Learners,s,s,s,s,s,s,s
29Q492,MATHEMATICS  SCIENCE RESEARCH AND TEC,2005,English Language Learners,s,s,s,s,s,s,s
29Q492,MATHEMATICS  SCIENCE RESEARCH AND TEC,2006,English Language Learners,s,s,s,s,s,s,s
29Q494,LAW  GOVERNMENT AND COMMUNITY SERVICE,2006,English Language Learners,s,s,s,s,s,s,s
29Q496,BUSINESS  COMPUTER APPLICATIONS & ENT,2005,English Language Learners,s,s,s,s,s,s,s
29Q496,BUSINESS  COMPUTER APPLICATIONS & ENT,2006,English Language Learners,s,s,s,s,s,s,s
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,2005,English Language Learners,33%,22.7%,5.7%,17%,10.2%,39.8%,23.9%
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,2006,English Language Learners,37.9%,25.5%,4.3%,21.1%,12.4%,34.2%,23%
30Q450,LONG ISLAND CITY HIGH SCHOOL,2005,English Language Learners,33.3%,27.5%,2%,25.5%,5.9%,38.2%,23.5%
30Q450,LONG ISLAND CITY HIGH SCHOOL,2006,English Language Learners,32.2%,20%,2.6%,17.4%,12.2%,41.7%,16.5%
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,2005,English Language Learners,34.8%,17.4%,0%,17.4%,17.4%,34.8%,21.7%
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,2006,English Language Learners,36.4%,0%,0%,0%,36.4%,31.8%,31.8%
30Q555,NEWCOMERS HIGH SCHOOL,2005,English Language Learners,56.8%,47.6%,15.5%,32%,9.2%,29.6%,9.7%
30Q555,NEWCOMERS HIGH SCHOOL,2006,English Language Learners,62.8%,53.4%,16.2%,37.2%,9.4%,19.4%,16.2%
30Q575,ACADEMY OF AMERICAN STUDIES,2005,English Language Learners,s,s,s,s,s,s,s
30Q575,ACADEMY OF AMERICAN STUDIES,2006,English Language Learners,s,s,s,s,s,s,s
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCA,2005,English Language Learners,s,s,s,s,s,s,s
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCA,2006,English Language Learners,s,s,s,s,s,s,s
31R080,THE MICHAEL J. PETRIDES SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
31R440,NEW DORP HIGH SCHOOL,2005,English Language Learners,33.3%,18.2%,0%,18.2%,15.2%,30.3%,27.3%
31R440,NEW DORP HIGH SCHOOL,2006,English Language Learners,41.7%,25%,16.7%,8.3%,16.7%,33.3%,16.7%
31R445,PORT RICHMOND HIGH SCHOOL,2005,English Language Learners,20%,2.9%,0%,2.9%,17.1%,40%,28.6%
31R445,PORT RICHMOND HIGH SCHOOL,2006,English Language Learners,40%,16%,0%,16%,24%,28%,32%
31R450,CURTIS HIGH SCHOOL,2005,English Language Learners,40%,22.2%,0%,22.2%,17.8%,35.6%,22.2%
31R450,CURTIS HIGH SCHOOL,2006,English Language Learners,56.8%,36.4%,13.6%,22.7%,20.5%,25%,15.9%
31R455,TOTTENVILLE HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
31R455,TOTTENVILLE HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
31R460,SUSAN E. WAGNER HIGH SCHOOL,2005,English Language Learners,31.7%,7.3%,4.9%,2.4%,24.4%,26.8%,12.2%
31R460,SUSAN E. WAGNER HIGH SCHOOL,2006,English Language Learners,50%,31.3%,3.1%,28.1%,18.8%,21.9%,9.4%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,2005,English Proficient Students,66.099999999999994%,45.8%,0%,45.8%,20.3%,13.6%,15.3%
31R470,CONCORD HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
31R600,RALPH R. MCKEE CAREER AND TECHNICAL E,2005,English Language Learners,s,s,s,s,s,s,s
31R600,RALPH R. MCKEE CAREER AND TECHNICAL E,2006,English Language Learners,s,s,s,s,s,s,s
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,2005,English Language Learners,s,s,s,s,s,s,s
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,2006,English Language Learners,s,s,s,s,s,s,s
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICEBU,2005,English Language Learners,38.1%,0%,0%,0%,38.1%,47.6%,14.3%
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICEBU,2006,English Language Learners,s,s,s,s,s,s,s
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,2005,English Language Learners,s,s,s,s,s,s,s
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,2006,English Language Learners,s,s,s,s,s,s,s
32K552,ACADEMY OF URBAN PLANNING,2005,English Language Learners,s,s,s,s,s,s,s
32K552,ACADEMY OF URBAN PLANNING,2006,English Language Learners,s,s,s,s,s,s,s
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACAD,2005,English Language Learners,s,s,s,s,s,s,s
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACAD,2006,English Language Learners,46.7%,13.3%,0%,13.3%,33.3%,20%,30%
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,2005,English Language Learners,s,s,s,s,s,s,s
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,2006,English Language Learners,s,s,s,s,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,2006,English Proficient Students,54.8%,46.6%,0%,46.6%,8.199999999999999%,21.9%,13.7%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,English Proficient Students,54.4%,30.7%,3.5%,27.2%,23.7%,34.200000000000003%,7.9%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,English Proficient Students,43%,33.9%,5.8%,28.1%,9.1%,37.200000000000003%,15.7%
01M450,EAST SIDE COMMUNITY SCHOOL,2005,English Proficient Students,71.400000000000006%,67.900000000000006%,0%,67.900000000000006%,3.6%,13.1%,10.7%
01M450,EAST SIDE COMMUNITY SCHOOL,2006,English Proficient Students,78.400000000000006%,76.099999999999994%,0%,76.099999999999994%,2.3%,15.9%,5.7%
01M509,MARTA VALLE HIGH SCHOOL,2005,English Proficient Students,58.9%,52.1%,24.7%,27.4%,6.8%,20.5%,15.1%
01M509,MARTA VALLE HIGH SCHOOL,2006,English Proficient Students,61.1%,55.6%,23.6%,31.9%,5.6%,27.8%,5.6%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2005,English Proficient Students,38.1%,28.6%,14.3%,14.3%,9.5%,57.1%,4.8%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2006,English Proficient Students,s,s,s,s,s,s,s
01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2005,English Proficient Students,97.9%,97.9%,79.2%,18.8%,0%,2.1%,0%
01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2006,English Proficient Students,100%,100%,67.400000000000006%,32.6%,0%,0%,0%
01M650,CASCADES HIGH SCHOOL,2005,English Proficient Students,30.3%,14.6%,0%,14.6%,15.7%,58.4%,7.9%
01M650,CASCADES HIGH SCHOOL,2006,English Proficient Students,55.3%,40%,0%,40%,15.3%,38.799999999999997%,5.9%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2005,English Proficient Students,93%,93%,0%,93%,0%,6.1%,0.9%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2006,English Proficient Students,96.4%,96.4%,0%,96.4%,0%,2.9%,0.7%
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2005,English Proficient Students,37.5%,16.7%,0%,16.7%,20.8%,37.5%,12.5%
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2006,English Proficient Students,81%,33.299999999999997%,0%,33.299999999999997%,47.6%,9.5%,4.8%
02M288,FOOD AND FINANCE HIGH SCHOOL,2005,English Proficient Students,74.3%,62.2%,0%,62.2%,12.2%,23%,1.4%
02M288,FOOD AND FINANCE HIGH SCHOOL,2006,English Proficient Students,90%,77%,0%,77%,13%,5%,3%
02M294,ESSEX STREET ACADEMY,2005,English Proficient Students,78.5%,76.900000000000006%,0%,76.900000000000006%,1.5%,20%,0%
02M294,ESSEX STREET ACADEMY,2006,English Proficient Students,75.3%,67.900000000000006%,0%,67.900000000000006%,7.4%,14.8%,8.6%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2005,English Proficient Students,81.099999999999994%,70%,6.7%,63.3%,11.1%,12.2%,4.4%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2006,English Proficient Students,78.599999999999994%,67.099999999999994%,1.4%,65.7%,11.4%,12.9%,7.1%
02M298,PACE HIGH SCHOOL,2005,English Proficient Students,83.3%,78.099999999999994%,13.5%,64.599999999999994%,5.2%,13.5%,2.1%
02M298,PACE HIGH SCHOOL,2006,English Proficient Students,85.7%,83.5%,42.9%,40.700000000000003%,2.2%,6.6%,4.4%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2005,English Proficient Students,79.2%,76.400000000000006%,5.6%,70.8%,2.8%,13.9%,2.8%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2006,English Proficient Students,62.7%,58.7%,0%,58.7%,4%,28%,9.300000000000001%
02M303,FACING HISTORY SCHOOL  THE,2005,English Proficient Students,47.7%,47.7%,0%,47.7%,0%,34.9%,14%
02M303,FACING HISTORY SCHOOL  THE,2006,English Proficient Students,48.5%,48.5%,0%,48.5%,0%,27.3%,21.2%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,2005,English Proficient Students,71%,59.4%,2.9%,56.5%,11.6%,11.6%,13%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,2006,English Proficient Students,76.7%,66.7%,0%,66.7%,10%,5%,15%
02M308,LOWER MANHATTAN ARTS ACADEMY,2005,English Proficient Students,77.599999999999994%,44.8%,3%,41.8%,32.799999999999997%,10.4%,10.4%
02M308,LOWER MANHATTAN ARTS ACADEMY,2006,English Proficient Students,68.8%,48.4%,1.6%,46.9%,20.3%,21.9%,7.8%
02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2005,English Proficient Students,38.200000000000003%,19.7%,0%,19.7%,18.399999999999999%,44.7%,10.5%
02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2006,English Proficient Students,52.1%,38.4%,0%,38.4%,13.7%,27.4%,16.399999999999999%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2005,English Proficient Students,64.5%,42.1%,7.9%,34.200000000000003%,22.4%,25%,9.199999999999999%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2006,English Proficient Students,77.599999999999994%,64.2%,10.4%,53.7%,13.4%,17.899999999999999%,4.5%
02M374,GRAMERCY ARTS HIGH SCHOOL,2005,English Proficient Students,73%,20.6%,0%,20.6%,52.4%,14.3%,6.3%
02M374,GRAMERCY ARTS HIGH SCHOOL,2006,English Proficient Students,72.5%,54.9%,1.1%,53.8%,17.600000000000001%,17.600000000000001%,7.7%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2005,English Proficient Students,72.599999999999994%,59.3%,21.1%,38.200000000000003%,13.2%,20.5%,4.1%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2006,English Proficient Students,75.400000000000006%,63.9%,23.4%,40.5%,11.5%,15.1%,5.9%
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2005,English Proficient Students,75.900000000000006%,0%,0%,0%,75.900000000000006%,20.7%,1.7%
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2006,English Proficient Students,76.400000000000006%,0%,0%,0%,76.400000000000006%,20%,3.6%
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2005,English Proficient Students,95%,80%,21%,59%,15%,4%,1%
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2006,English Proficient Students,92.5%,76.3%,10%,66.3%,16.3%,7.5%,0%
02M409,COALITION SCHOOL FOR SOCIAL CHANGE,2005,English Proficient Students,75.3%,14.3%,0%,14.3%,61%,0%,10.4%
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2005,English Proficient Students,100%,97.9%,57.3%,40.6%,2.1%,0%,0%
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2006,English Proficient Students,98.1%,95.2%,53.3%,41.9%,2.9%,1.9%,0%
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2005,English Proficient Students,96.2%,89.4%,58.3%,31.1%,6.8%,3%,0.8%
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2006,English Proficient Students,91.8%,86.9%,50.8%,36.1%,4.9%,6.6%,1.6%
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2005,English Proficient Students,86.9%,86.9%,0%,86.9%,0%,10.7%,2.4%
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2006,English Proficient Students,64.2%,64.2%,0%,64.2%,0%,32.6%,2.1%
02M414,N.Y.C. MUSEUM SCHOOL,2005,English Proficient Students,93.9%,79.8%,27.3%,52.5%,14.1%,6.1%,0%
02M414,N.Y.C. MUSEUM SCHOOL,2006,English Proficient Students,94.3%,81%,4.8%,76.2%,13.3%,2.9%,1.9%
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2005,English Proficient Students,99.1%,98.3%,66.099999999999994%,32.200000000000003%,0.9%,0%,0%
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2006,English Proficient Students,100%,99.2%,86.6%,12.6%,0.8%,0%,0%
02M418,MILLENNIUM HIGH SCHOOL,2005,English Proficient Students,96.7%,86.2%,12.2%,74%,10.6%,3.3%,0%
02M418,MILLENNIUM HIGH SCHOOL,2006,English Proficient Students,96.6%,92.6%,45%,47.7%,4%,3.4%,0%
02M419,LANDMARK HIGH SCHOOL,2005,English Proficient Students,61.5%,0%,0%,0%,61.5%,27.1%,7.3%
02M419,LANDMARK HIGH SCHOOL,2006,English Proficient Students,63.2%,63.2%,0%,63.2%,0%,16.100000000000001%,13.8%
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2005,English Proficient Students,74.3%,63%,13.4%,49.6%,11.3%,23%,0.3%
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2006,English Proficient Students,82.7%,72%,14.6%,57.4%,10.7%,14%,0.6%
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2005,English Proficient Students,50.4%,18.5%,0%,18.5%,31.9%,25.9%,17%
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2006,English Proficient Students,55.8%,42%,6.5%,35.5%,13.8%,21.7%,15.9%
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2005,English Proficient Students,51.1%,20%,3.3%,16.7%,31.1%,32.200000000000003%,11.1%
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2006,English Proficient Students,48.6%,20.8%,0%,20.8%,27.8%,30.6%,6.9%
02M439,MANHATTAN VILLAGE ACADEMY,2005,English Proficient Students,98.6%,90.4%,23.3%,67.099999999999994%,8.199999999999999%,1.4%,0%
02M439,MANHATTAN VILLAGE ACADEMY,2006,English Proficient Students,98.2%,96.3%,41.3%,55%,1.8%,0%,0%
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2005,English Proficient Students,53.9%,22.7%,2%,20.7%,31.2%,28.8%,13.2%
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2006,English Proficient Students,42.9%,22%,1.2%,20.8%,20.8%,30.5%,17.399999999999999%
02M442,BALLET TECH  NYC PUBLIC SCHOOL FOR DA,2005,English Proficient Students,s,s,s,s,s,s,s
02M445,SEWARD PARK HIGH SCHOOL,2005,English Proficient Students,s,s,s,s,s,s,s
02M449,VANGUARD HIGH SCHOOL,2005,English Proficient Students,77.8%,72.2%,0%,72.2%,5.6%,18.100000000000001%,0%
02M449,VANGUARD HIGH SCHOOL,2006,English Proficient Students,46.8%,45.6%,0%,45.6%,1.3%,45.6%,3.8%
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2005,English Proficient Students,76.7%,73.3%,0%,73.3%,3.3%,20%,3.3%
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2006,English Proficient Students,74.3%,74.3%,0%,74.3%,0%,22.9%,0%
02M460,WASHINGTON IRVING HIGH SCHOOL,2005,English Proficient Students,39.9%,23.8%,1.5%,22.3%,16.100000000000001%,21.4%,30.7%
02M460,WASHINGTON IRVING HIGH SCHOOL,2006,English Proficient Students,56.3%,44.5%,3.5%,41%,11.8%,10.9%,25.7%
02M475,STUYVESANT HIGH SCHOOL,2005,English Proficient Students,96.5%,96.5%,95.6%,0.9%,0%,2.8%,0.5%
02M475,STUYVESANT HIGH SCHOOL,2006,English Proficient Students,98.3%,98.3%,97.8%,0.5%,0%,1.3%,0.4%
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2005,English Proficient Students,71.8%,56.5%,17.600000000000001%,38.9%,15.3%,14.5%,10.7%
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2006,English Proficient Students,78.900000000000006%,65.5%,25.1%,40.4%,13.5%,11.7%,6.4%
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2005,English Proficient Students,48.6%,16.2%,0%,16.2%,32.4%,32.4%,16.2%
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2006,English Proficient Students,73.099999999999994%,59.6%,7.7%,51.9%,13.5%,13.5%,11.5%
02M519,TALENT UNLIMITED HIGH SCHOOL,2005,English Proficient Students,89.1%,71.7%,19.600000000000001%,52.2%,17.399999999999999%,10.9%,0%
02M519,TALENT UNLIMITED HIGH SCHOOL,2006,English Proficient Students,92.6%,87.4%,26.7%,60.7%,5.2%,6.7%,0%
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,2005,English Proficient Students,62%,46%,6.3%,39.700000000000003%,16%,22.5%,10.199999999999999%
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,2006,English Proficient Students,58.4%,43.5%,4.3%,39.200000000000003%,14.9%,27.6%,10.4%
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOO,2005,English Proficient Students,64.599999999999994%,46.3%,14%,32.299999999999997%,18.3%,24.4%,7.3%
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOO,2006,English Proficient Students,66.400000000000006%,52.4%,18.899999999999999%,33.6%,14%,21%,9.800000000000001%
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THE,2005,English Proficient Students,88.4%,65.099999999999994%,0%,65.099999999999994%,23.3%,11.6%,0%
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THE,2006,English Proficient Students,85.4%,58.3%,0%,58.3%,27.1%,6.3%,8.300000000000001%
02M535,PARK WEST HIGH SCHOOL,2005,English Proficient Students,s,s,s,s,s,s,s
02M542,MANHATTAN BRIDGES HIGH SCHOOL,2005,English Proficient Students,s,s,s,s,s,s,s
02M542,MANHATTAN BRIDGES HIGH SCHOOL,2006,English Proficient Students,91.7%,87.5%,33.299999999999997%,54.2%,4.2%,4.2%,4.2%
02M543,NEW DESIGN HIGH SCHOOL,2005,English Proficient Students,71.8%,53.8%,0%,53.8%,17.899999999999999%,14.1%,6.4%
02M543,NEW DESIGN HIGH SCHOOL,2006,English Proficient Students,69.900000000000006%,45.2%,0%,45.2%,24.7%,23.7%,6.5%
02M544,INDEPENDENCE HIGH SCHOOL,2005,English Proficient Students,18.7%,5.3%,0%,5.3%,13.3%,64%,15.3%
02M544,INDEPENDENCE HIGH SCHOOL,2006,English Proficient Students,18.8%,7.5%,0%,7.5%,11.3%,61.7%,13.5%
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASI,2005,English Proficient Students,93.9%,93.9%,81.8%,12.1%,0%,6.1%,0%
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASI,2006,English Proficient Students,89.7%,82.8%,75.900000000000006%,6.9%,6.9%,3.4%,0%
